Country Name,Country Code,Indicator Name,Indicator Code,Year70,Year71,Year72,Year73,Year74,Year75,Year76,Year77,Year78,Year79,Year80,Year81,Year82,Year83,Year84,Year85,Year86,Year87,Year88,Year89,Year90,Year91,Year92,Year93,Year94,Year95,Year96,Year97,Year98,Year99,Year00,Year01,Year02,Year03,Year04,Year05,Year06,Year07,Year08,Year09,Year10,Year11,Year12,Year13,Year14,Year15,Year16
Angola,AGO,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5607000,15202000,49604000,80576000,115121000,136047000,178689000,213777000,226426000,228393000,264763000,291456000,318373000,319346000,347333000,365087000,368888000,385211000,377702000,383663000,420275000,468408000,477956000,479183000,490247000
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5893188000,6353923000,6893777000,7374659000,7798535000,7901570000,9501618000,11675730000,13507656000,21176832000,27322462000,35809459000,43787000000,46108325000,49060797000,51156729000,52688153000,58722661000,59015257000,65538427000,62477598000,65672389000,68605634000,64681396000,75094059000,98773126000,1.11E+11,1.28E+11,1.42E+11,1.52E+11,1.5E+11,1.53E+11,1.48E+11,1.63E+11,1.68E+11,1.31E+11,1.19E+11,1.21E+11,1.3E+11,1.34E+11,1.27E+11,1.4E+11,1.37E+11,1.47E+11,1.45E+11,1.73E+11,1.9E+11
Argentina,ARG,"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000000,286000000,1670577000,5225425000,7366172000,7582427000,8760321000,10310631000,11873197000,12130270000,11138314000,9833796000,9833796000,9833796000,6091139000,8772000000,10138000000,12073264000,7921186000,6850054000,7854757000,9128664000,6535568000,6578974000,7198711000,8516283000,11438633000
Argentina,ARG,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,386126000,548124000,593457000,486930000,627386000,552575000,736855000,685391000,968755000,909899000,832080000,736636000,5453914000,7249829000,7735764000,9773790000,9727678000,9526456000,9116799000,9824075000,11514127000,11661221000,11619746000,28116884000,30429659000,32670030000,41193968000,47353636000,55471631000,68244049000,69009378000,64686402000,68173891000,74532461000,80777351000,38347360000,42431102000,49408673000,49174783000,51276139000,44342301000,42948503000,42173649000,40471230000,43885671000,40462985000,74050913000
Argentina,ARG,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,121433000,197813000,361840000,623335000,805426000,697594000,1753488000,2102847000,2556271000,4394049000,6064637000,6457829000,6857201000,13084803000,14441356000,20716138000,22990075000,28774338000,27943071000,30868766000,22631499000,22019133000,21618024000,718327000,784998000,792666000,691573000,759438000,659676000,465934000,294450000,242285000,160685000,176981000,183509000,171234000,200803000,210762000,205131000,1266204000,1073253000,806115000,824414000,741658000,532015000,448492000,436071000
Argentina,ARG,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,181339000,218681000,256136000,302166000,339918000,341219000,342488000,342849000,351725000,366976000,403667000,477355000,503629000,533427000,503033000,699646000,1140204000,2146470000,2265241000,2281167000,2608870000,2789870000,2505366000,3739414000,4109378000,4913253000,5372447000,5494472000,7188440000,8313982000,8789137000,9440018000,8512828000,7508015000,7446990000,6880617000,6205632000,5674043000,5069214000,5304855000,5349319000,5554746000,5624989000,6121408000,6007304000,5851771000,6047721000
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133923000,214330000,370657000,520544000,638485000,804243000,1022596000,1009643000,1401649000,1711690000,1994268000,2106357000,1968027000,2136305000,3078652000,3609420000,4932728000,6304799000,7408641000,7638570000,8679111000,8553131000,8928447000,9953091000
Armenia,ARM,"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,100000000
Armenia,ARM,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000000,700000000,1000072000,1000072000
Armenia,ARM,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,5000000,5000000,5000000,0,0,0,0,0,0,0,0,0,2219000,12860000,16686000,16241000,23066000,22345000
Armenia,ARM,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503000,1573000,4820000,9764000,9853000,9727000,9246000,8284000,7359000,7557000,7843000,7584000,6314000,5857000,5394000,4872000,53394000,105809000,150787000,235867000,310887000,410818000,510862000,643263000
Armenia,ARM,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5563000,90938000,174048000,240254000,292840000,352099000,388291000,427876000,529940000,661599000,772576000,746036000,841246000,964653000,1025362000,1160829000,1160720000,1187268000,1235456000,1275021000,1198542000,1140648000,1099075000
Azerbaijan,AZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35540000,112815000,320987000,438310000,508060000,706603000,1289063000,1585213000,1515369000,1691664000,1941119000,2169228000,2247015000,2798139000,3904857000,4496965000,4569023000,7159486000,7288789000,10330561000,10065089000,11787756000,13216189000,14085341000
Azerbaijan,AZE,"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000000,500000000,2250000000,2250000000,3250000000
Azerbaijan,AZE,"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26703000,113093000,88786000,88270000,81655000,71441000,274308000,402595000,552431000,633972000,948742000,961861000,997605000,1002914000,1239897000,1251274000,1436319000,1681266000
Azerbaijan,AZE,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5394000,21403000,77730000,199288000,300495000,468700000,808436000,1043067000,1348553000,1577782000,1736338000
Azerbaijan,AZE,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30194000,64289000,115525000,141309000,199287000,216182000,235023000,313665000,421867000,492898000,500610000,582706000,660429000,697699000,739338000,762757000,805789000,833304000,599162000,571477000,517748000,466800000
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,0,0,146504000,497821000,1257485000,1680487000,1993988000,2331731000,2820090000,2967070000,3802227000,4209316000,4940332000,5346290000,5541813000,6530064000,7913830000,9737966000,10275896000,10701054000,12291773000,12997668000,13427958000,14125217000,15490544000,15734746000,15169074000,14257777000,15509849000,16452032000,15602838000,14981002000,16689962000,18442975000,19716789000,18505584000,20162643000,21574985000,23407581000,25437537000,26880728000,27276717000,28558969000,33994737000,35662409000,38688480000,41125641000
