country_name,country_code,indicator_name,indicator_code,year16,,,,,,
Honduras,HND,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,6976261000,,,,,,
IDA only,IDX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3.06E+11,,,,,,
IDA only,IDX,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2.57E+11,,,,,,
India,IND,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,3.67E+11,,,,,,
Indonesia,IDN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2.72E+11,,,,,,
"Iran, Islamic Rep.",IRN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,2794000000,,,,,,
Jamaica,JAM,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,11358727000,,,,,,
Jordan,JOR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,14872082000,,,,,,
Kazakhstan,KAZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.64E+11,,,,,,
Kazakhstan,KAZ,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.56E+11,,,,,,
Kenya,KEN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,18996548000,,,,,,
Kosovo,XKX,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1336748000,,,,,,
Kyrgyz Republic,KGZ,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,7222818000,,,,,,
Lao PDR,LAO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,13381397000,,,,,,
Latin America & Caribbean,LAC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.45E+12,,,,,,
Latin America & Caribbean,LAC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.45E+12,,,,,,
Least developed countries:UN,LDC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2.3E+11,,,,,,
Lebanon,LBN,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,27921654000,,,,,,
Lesotho,LSO,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,774881000,,,,,,
Lesotho,LSO,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,774881000,,,,,,
Liberia,LBR,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,592177000,,,,,,
Low & middle income,LMY,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,5.05E+12,,,,,,
Low income,LIC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.03E+11,,,,,,
Lower middle income,LMC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.45E+12,,,,,,
Lower middle income,LMC,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1.45E+12,,,,,,
Lower middle income,LMC,"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD,3.67E+11,,,,,,
"Macedonia, FYR",MKD,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,6183009000,,,,,,
Madagascar,MDG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,2428944000,,,,,,
Malawi,MWI,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,1506568000,,,,,,
