country_name,country_code,indicator_name,indicator_code,year16
Benin,BEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2323370000
Haiti,HTI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2158090000
Kosovo,XKX,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2152306000
Botswana,BWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2100343000
Malawi,MWI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1846561000
Djibouti,DJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1706359000
Chad,TCD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1654990000
Guyana,GUY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1638937000
"Cabo Verde",CPV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1539390000
"Sierra Leone",SLE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1472407000
Guinea,GIN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1378171000
Belize,BLZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1344359000
Grenada,GRD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1296661000
Togo,TGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1176008000
Maldives,MDV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1155159000
Liberia,LBR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,951620000
Lesotho,LSO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,883326000
Fiji,FJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,867762000
Eritrea,ERI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,796402000
"Central African Republic",CAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,682203000
Burundi,BDI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,632780000
"St. Lucia",LCA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,551039000
Turkmenistan,TKM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,508683000
"Gambia, The",GMB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,505448000
Swaziland,SWZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,497239000
Samoa,WSM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,417455000
"St. Vincent and the Grenadines",VCT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,370127000
Dominica,DMA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,297065000
Guinea-Bissau,GNB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,295006000
"Sao Tome and Principe",STP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,247976000
"Solomon Islands",SLB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,240262000
Vanuatu,VUT,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,213109000
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,159918000
Tonga,TON,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,159855000
